column,dtype,count,missing_%,zeros_%,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,skew,kurtosis
humidity,float64,112001,0.0,0.0,74.22414013267739,0.6847110738663114,72.399,72.462,72.735,73.914,74.212,74.731,75.291,75.379,75.4,-0.5344298603261634,0.12271359123900138
revolutions,float64,112001,0.0,0.0,46.2751947393327,19.042179053379844,16.933,17.654,20.355,29.651,43.348,63.997,76.764,89.422,93.744,0.2204014602201568,-1.0270673480070804
vibration,float64,109563,2.177,0.0,28.34027573177076,24.292499678814583,2.0,2.94,3.64,8.0,21.28,39.21,69.78,95.0,100.0,0.9868275715016681,-0.07646346271767879
x1,float64,112001,0.0,0.0,120.49933487201007,18.984921380531627,90.132,90.947,94.189,103.85,117.64,138.119,149.344,163.057,167.743,0.16154338459412157,-1.0666345374669786
x2,float64,112001,0.0,0.0,-27.948945393344705,19.123796299018128,-56.353,-55.639,-53.572,-44.548,-31.443,-10.012,4.184,15.787,19.745,0.2818072158334345,-0.9779364455081416
x3,float64,112001,0.0,0.0,0.6237591530922224,0.25867657999605054,0.231328297,0.240868047,0.275726004,0.39961455,0.580561141,0.865329976,1.057646735,1.214395328,1.26682793,0.26757195093037706,-0.974162389042228
x4,float64,112001,0.0,0.0,2503.9949937521274,1874.9729115259756,286.726489,311.663716,414.326025,879.181801,1879.049104,4095.616009,5892.711696,7996.294084,8787.937536,0.7917095917587038,-0.06024154549251426
x5,float64,112001,0.0,0.0,5509.691803504067,101.39562065083649,5241.615201,5250.741444,5290.380225,5463.279396,5507.420944,5584.722361,5668.734681,5681.993641,5685.16,-0.50898457528954,0.08546498737943864
